Source IP;Destination IP;Port;Protocol;Hits;;
10.199.227.174;10.199.99.134;3024;TCP;182;;
10.199.227.73;10.199.99.134;3024;TCP;1;;
10.199.31.130;10.199.99.134;3024;TCP;248;;
10.199.32.149;10.199.99.134;3024;TCP;5144;;
10.199.32.149;10.199.99.136;3016;TCP;6;;
10.199.32.173;10.199.99.132;3016;TCP;802;;
10.199.32.73;10.199.99.132;3016;TCP;770;;
10.199.51.31;10.199.99.132;3016;TCP;1276;;
10.199.60.142;10.199.99.134;3024;TCP;10697;;
10.199.60.145;10.199.99.134;3024;TCP;10200;;
10.199.60.151;10.199.99.134;3024;TCP;9656;;
10.199.60.40;10.199.99.134;3024;TCP;16765;;
10.199.60.43;10.199.99.134;3024;TCP;22158;;
10.199.72.131;102.180.50.30;636;TCP;5;;
10.199.72.133;102.180.50.30;636;TCP;5;;
10.199.72.135;102.180.50.30;636;TCP;5;;
10.199.72.31;102.180.50.30;636;TCP;10;;
10.199.72.33;102.180.50.30;636;TCP;15;;
10.199.72.35;102.180.50.30;636;TCP;9;;
10.199.73.131;10.199.99.132;3016;TCP;284;;
10.199.74.30;10.199.99.134;3024;TCP;510;;
10.193.81.173;10.199.99.132;3016;TCP;4;;
10.193.81.187;10.199.99.132;3016;TCP;6;;
10.193.81.195;10.199.99.132;3016;TCP;6;;
10.193.81.201;10.199.99.134;3024;TCP;2;;
10.193.81.203;10.199.99.132;3016;TCP;8;;
10.193.81.204;10.199.99.132;3016;TCP;14;;
10.193.81.205;10.199.99.132;3016;TCP;2;;
10.193.81.208;10.199.99.134;3024;TCP;2;;
10.193.81.211;10.199.99.134;3024;TCP;2;;
10.193.81.214;10.199.99.134;3024;TCP;4;;
10.193.81.225;10.199.99.134;3024;TCP;2;;
10.193.81.226;10.199.99.132;3016;TCP;6;;
10.193.81.229;10.199.99.132;3016;TCP;2;;
10.193.81.234;10.199.99.132;3016;TCP;2;;
10.193.81.235;10.199.99.132;3016;TCP;12;;
10.193.81.242;10.199.99.132;3016;TCP;2;;
10.193.81.246;10.199.99.134;3024;TCP;1;;
10.193.81.248;10.199.99.134;3024;TCP;2;;
10.193.81.250;10.199.99.134;3024;TCP;2;;
10.193.81.251;10.199.99.132;3016;TCP;2;;
10.193.82.1;10.199.99.132;3016;TCP;1;;
10.193.82.1;10.199.99.134;3024;TCP;1;;
10.193.82.1;10.199.99.136;3016;TCP;8;;
10.193.82.10;10.199.99.132;3016;TCP;24;;
10.193.82.102;10.199.99.136;3016;TCP;7;;
10.193.82.103;10.199.99.136;3016;TCP;13;;
10.193.82.111;10.199.99.134;3024;TCP;4;;
10.193.82.115;10.199.99.136;3016;TCP;4;;
10.193.82.118;10.199.99.132;3016;TCP;2;;
10.193.82.12;10.199.99.136;3016;TCP;2;;
10.193.82.123;10.199.99.134;3024;TCP;185;;
10.193.82.125;10.199.99.136;3016;TCP;2;;
10.193.82.126;10.199.99.134;3024;TCP;2;;
10.193.82.128;10.199.99.132;3016;TCP;2;;
10.193.82.13;10.199.99.136;3016;TCP;2;;
10.193.82.131;10.199.99.136;3016;TCP;18;;
10.193.82.134;10.199.99.134;3024;TCP;4;;
10.193.82.14;10.199.99.136;3016;TCP;16;;
10.193.82.145;10.199.99.136;3016;TCP;12;;
10.193.82.146;10.199.99.136;3016;TCP;8;;
10.193.82.152;10.199.99.136;3016;TCP;4;;
10.193.82.153;10.199.99.136;3016;TCP;4;;
10.193.82.154;10.199.99.134;3024;TCP;2;;
10.193.82.158;10.199.99.136;3016;TCP;4;;
10.193.82.159;10.199.99.134;3024;TCP;3;;
10.193.82.159;10.199.99.136;3016;TCP;21;;
10.193.82.160;10.199.99.134;3024;TCP;9;;
10.193.82.161;10.199.99.134;3024;TCP;3;;
10.193.82.163;10.199.99.132;3016;TCP;1;;
10.193.82.17;10.199.99.132;3016;TCP;2;;
10.193.82.172;10.199.99.132;3016;TCP;11;;
10.193.82.18;10.199.99.132;3016;TCP;4;;
10.193.82.18;10.199.99.136;3016;TCP;8;;
10.193.82.19;10.199.99.134;3024;TCP;1;;
10.193.82.198;10.199.99.132;3016;TCP;5;;
10.193.82.20;10.199.99.132;3016;TCP;2;;
10.193.82.202;10.199.99.132;3016;TCP;1;;
10.193.82.21;10.199.99.136;3016;TCP;4;;
10.193.82.210;10.199.99.136;3016;TCP;2;;
10.193.82.213;10.199.99.136;3016;TCP;1;;
10.193.82.22;10.199.99.134;3024;TCP;1;;
10.193.82.22;10.199.99.136;3016;TCP;8;;
10.193.82.220;10.199.99.136;3016;TCP;2;;
10.193.82.23;10.199.99.136;3016;TCP;4;;
10.193.82.24;10.199.99.134;3024;TCP;16;;
10.193.82.27;10.199.99.134;3024;TCP;28;;
10.193.82.28;10.199.99.132;3016;TCP;1;;
10.193.82.29;10.199.99.132;3016;TCP;22;;
10.193.82.29;10.199.99.134;3024;TCP;94;;
10.193.82.3;10.199.99.132;3016;TCP;8;;
10.193.82.30;10.199.99.134;3024;TCP;38;;
10.193.82.30;10.199.99.136;3016;TCP;10;;
10.193.82.31;10.199.99.134;3024;TCP;2;;
10.193.82.31;10.199.99.136;3016;TCP;2;;
10.193.82.33;10.199.99.134;3024;TCP;2;;
10.193.82.34;10.199.99.136;3016;TCP;22;;
10.193.82.35;10.199.99.134;3024;TCP;16;;
10.193.82.39;10.199.99.136;3016;TCP;7;;
10.193.82.4;10.199.99.132;3016;TCP;25;;
10.193.82.4;10.199.99.136;3016;TCP;20;;
10.193.82.40;10.199.99.136;3016;TCP;4;;
10.193.82.41;10.199.99.134;3024;TCP;8;;
10.193.82.41;10.199.99.136;3016;TCP;10;;
10.193.82.43;10.199.99.132;3016;TCP;10;;
10.193.82.43;10.199.99.136;3016;TCP;12;;
10.193.82.45;10.199.99.136;3016;TCP;18;;
10.193.82.48;10.199.99.132;3016;TCP;2;;
10.193.82.49;10.199.99.132;3016;TCP;8;;
10.193.82.49;10.199.99.134;3024;TCP;21;;
10.193.82.50;10.199.99.134;3024;TCP;2;;
10.193.82.51;10.199.99.134;3024;TCP;16;;
10.193.82.51;10.199.99.136;3016;TCP;4;;
10.193.82.52;10.199.99.136;3016;TCP;2;;
10.193.82.54;10.199.99.134;3024;TCP;4;;
10.193.82.56;10.199.99.134;3024;TCP;4;;
10.193.82.57;10.199.99.136;3016;TCP;14;;
10.193.82.59;10.199.99.136;3016;TCP;8;;
10.193.82.61;10.199.99.132;3016;TCP;1;;
10.193.82.62;10.199.99.134;3024;TCP;16;;
10.193.82.62;10.199.99.136;3016;TCP;4;;
10.193.82.63;10.199.99.132;3016;TCP;1;;
10.193.82.63;10.199.99.134;3024;TCP;4;;
10.193.82.64;10.199.99.136;3016;TCP;5;;
10.193.82.65;10.199.99.136;3016;TCP;2;;
10.193.82.68;10.199.99.132;3016;TCP;1;;
10.193.82.68;10.199.99.134;3024;TCP;8;;
10.193.82.69;10.199.99.134;3024;TCP;4;;
10.193.82.7;10.199.99.132;3016;TCP;3;;
10.193.82.71;10.199.99.134;3024;TCP;25;;
10.193.82.73;10.199.99.136;3016;TCP;4;;
10.193.82.74;10.199.99.134;3024;TCP;4;;
10.193.82.77;10.199.99.132;3016;TCP;1;;
10.193.82.77;10.199.99.136;3016;TCP;10;;
10.193.82.78;10.199.99.132;3016;TCP;2;;
10.193.82.78;10.199.99.136;3016;TCP;6;;
10.193.82.79;10.199.99.136;3016;TCP;1;;
10.193.82.8;10.199.99.134;3024;TCP;30;;
10.193.82.8;10.199.99.136;3016;TCP;13;;
10.193.82.81;10.199.99.134;3024;TCP;8;;
10.193.82.85;10.199.99.136;3016;TCP;2;;
10.193.82.90;10.199.99.132;3016;TCP;12;;
10.193.82.94;10.199.99.132;3016;TCP;2;;
10.193.82.95;10.199.99.132;3016;TCP;26;;
10.193.82.95;10.199.99.136;3016;TCP;43;;
10.193.82.97;10.199.99.136;3016;TCP;26;;
10.193.82.98;10.199.99.132;3016;TCP;2;;
10.193.82.99;10.199.99.132;3016;TCP;2;;
10.193.83.100;10.199.99.132;3016;TCP;1;;
10.193.83.100;10.199.99.134;3024;TCP;88;;
10.193.83.101;10.199.99.136;3016;TCP;10;;
10.193.83.103;10.199.99.134;3024;TCP;8;;
10.193.83.105;10.199.99.134;3024;TCP;28;;
10.193.83.107;10.199.99.132;3016;TCP;4;;
10.193.83.107;10.199.99.134;3024;TCP;4;;
10.193.83.108;10.199.99.132;3016;TCP;1;;
10.193.83.108;10.199.99.134;3024;TCP;28;;
10.193.83.109;10.199.99.132;3016;TCP;2;;
10.193.83.109;10.199.99.134;3024;TCP;6;;
10.193.83.109;10.199.99.136;3016;TCP;1;;
10.193.83.114;10.199.99.136;3016;TCP;10;;
10.193.83.116;10.199.99.132;3016;TCP;2;;
10.193.83.120;10.199.99.132;3016;TCP;2;;
10.193.83.120;10.199.99.134;3024;TCP;3;;
10.193.83.121;10.199.99.132;3016;TCP;44;;
10.193.83.123;10.199.99.136;3016;TCP;4;;
10.193.83.125;10.199.99.134;3024;TCP;18;;
10.193.83.131;10.199.99.132;3016;TCP;5;;
10.193.83.132;10.199.99.132;3016;TCP;3;;
10.193.83.135;10.199.99.132;3016;TCP;2;;
10.193.83.138;10.199.99.132;3016;TCP;2;;
10.193.83.138;10.199.99.134;3024;TCP;39;;
10.193.83.139;10.199.99.134;3024;TCP;16;;
10.193.83.14;10.199.99.136;3016;TCP;8;;
10.193.83.140;10.199.99.134;3024;TCP;34;;
10.193.83.141;10.199.99.136;3016;TCP;1;;
10.193.83.143;10.199.99.136;3016;TCP;2;;
10.193.83.145;10.199.99.134;3024;TCP;4;;
10.193.83.148;10.199.99.132;3016;TCP;2;;
10.193.83.151;10.199.99.132;3016;TCP;1;;
10.193.83.152;10.199.99.132;3016;TCP;1;;
10.193.83.153;10.199.99.132;3016;TCP;2;;
10.193.83.154;10.199.99.132;3016;TCP;1;;
10.193.83.156;10.199.99.132;3016;TCP;2;;
10.193.83.158;10.199.99.132;3016;TCP;53;;
10.193.83.158;10.199.99.134;3024;TCP;6370;;
10.193.83.159;10.199.99.132;3016;TCP;1;;
10.193.83.16;10.199.99.136;3016;TCP;2;;
10.193.83.161;10.199.99.136;3016;TCP;14;;
10.193.83.162;10.199.99.136;3016;TCP;48;;
10.193.83.165;10.199.99.134;3024;TCP;6;;
10.193.83.167;10.199.99.134;3024;TCP;2;;
10.193.83.168;10.199.99.132;3016;TCP;1;;
10.193.83.169;10.199.99.132;3016;TCP;58;;
10.193.83.169;10.199.99.136;3016;TCP;4;;
10.193.83.171;10.199.99.132;3016;TCP;10;;
10.193.83.174;10.199.99.134;3024;TCP;6;;
10.193.83.174;10.199.99.136;3016;TCP;34;;
10.193.83.177;10.199.99.134;3024;TCP;2;;
10.193.83.178;10.199.99.136;3016;TCP;38;;
10.193.83.182;10.199.99.136;3016;TCP;4;;
10.193.83.183;10.199.99.132;3016;TCP;2;;
10.193.83.184;10.199.99.134;3024;TCP;6;;
10.193.83.185;10.199.99.136;3016;TCP;18;;
10.193.83.186;10.199.99.136;3016;TCP;92;;
10.193.83.189;10.199.99.132;3016;TCP;29;;
10.193.83.190;10.199.99.132;3016;TCP;1;;
10.193.83.193;10.199.99.136;3016;TCP;6;;
10.193.83.194;10.199.99.136;3016;TCP;10;;
10.193.83.195;10.199.99.132;3016;TCP;4;;
10.193.83.198;10.199.99.136;3016;TCP;135;;
10.193.83.199;10.199.99.134;3024;TCP;2;;
10.193.83.199;10.199.99.136;3016;TCP;6;;
10.193.83.20;10.199.99.134;3024;TCP;8;;
10.193.83.20;10.199.99.136;3016;TCP;1;;
10.193.83.204;10.199.99.136;3016;TCP;7;;
10.193.83.208;10.199.99.132;3016;TCP;1;;
10.193.83.209;10.199.99.134;3024;TCP;22;;
10.193.83.212;10.199.99.132;3016;TCP;2;;
10.193.83.212;10.199.99.136;3016;TCP;6;;
10.193.83.215;10.199.99.132;3016;TCP;1;;
10.193.83.215;10.199.99.134;3024;TCP;32;;
10.193.83.216;10.199.99.132;3016;TCP;1;;
10.193.83.216;10.199.99.134;3024;TCP;16;;
10.193.83.216;10.199.99.136;3016;TCP;21;;
10.193.83.218;10.199.99.134;3024;TCP;14;;
10.193.83.221;10.199.99.136;3016;TCP;1;;
10.193.83.223;10.199.99.132;3016;TCP;2;;
10.193.83.223;10.199.99.136;3016;TCP;12;;
10.193.83.227;10.199.99.134;3024;TCP;2;;
10.193.83.229;10.199.99.136;3016;TCP;8;;
10.193.83.230;10.199.99.132;3016;TCP;1;;
10.193.83.230;10.199.99.134;3024;TCP;14;;
10.193.83.233;10.199.99.134;3024;TCP;4;;
10.193.83.234;10.199.99.132;3016;TCP;1;;
10.193.83.235;10.199.99.134;3024;TCP;1;;
10.193.83.236;10.199.99.136;3016;TCP;9;;
10.193.83.237;10.199.99.134;3024;TCP;8;;
10.193.83.237;10.199.99.136;3016;TCP;5;;
10.193.83.238;10.199.99.134;3024;TCP;4;;
10.193.83.199;10.199.99.134;3024;TCP;13;;
10.193.83.241;10.199.99.134;3024;TCP;8;;
10.193.83.242;10.199.99.134;3024;TCP;12;;
10.193.83.244;10.199.99.136;3016;TCP;2;;
10.193.83.246;10.199.99.132;3016;TCP;24;;
10.193.83.246;10.199.99.134;3024;TCP;2;;
10.193.83.247;10.199.99.132;3016;TCP;6;;
10.193.83.247;10.199.99.134;3024;TCP;1;;
10.193.83.248;10.199.99.134;3024;TCP;2;;
10.193.83.248;10.199.99.136;3016;TCP;10;;
10.193.83.249;10.199.99.132;3016;TCP;39;;
10.193.83.249;10.199.99.134;3024;TCP;6;;
10.193.83.250;10.199.99.136;3016;TCP;3;;
10.193.83.251;10.199.99.136;3016;TCP;9;;
10.193.83.252;10.199.99.134;3024;TCP;13;;
10.193.83.253;10.199.99.134;3024;TCP;28;;
10.193.83.254;10.199.99.132;3016;TCP;1;;
10.193.83.254;10.199.99.134;3024;TCP;3;;
10.193.83.254;10.199.99.136;3016;TCP;2;;
10.193.83.31;10.199.99.136;3016;TCP;41;;
10.193.83.33;10.199.99.136;3016;TCP;24;;
10.193.83.37;10.199.99.136;3016;TCP;33;;
10.193.83.38;10.199.99.136;3016;TCP;4;;
10.193.83.40;10.199.99.134;3024;TCP;4;;
10.193.83.42;10.199.99.134;3024;TCP;8;;
10.193.83.44;10.199.99.136;3016;TCP;4;;
10.193.83.45;10.199.99.134;3024;TCP;4;;
10.193.83.46;10.199.99.134;3024;TCP;17;;
10.193.83.49;10.199.99.136;3016;TCP;20;;
10.193.83.55;10.199.99.136;3016;TCP;51;;
10.193.83.56;10.199.99.136;3016;TCP;12;;
10.193.83.58;10.199.99.132;3016;TCP;2;;
10.193.83.60;10.199.99.136;3016;TCP;58;;
10.193.83.61;10.199.99.132;3016;TCP;1;;
10.193.83.61;10.199.99.134;3024;TCP;4;;
10.193.83.62;10.199.99.134;3024;TCP;8;;
10.193.83.63;10.199.99.132;3016;TCP;62;;
10.193.83.63;10.199.99.134;3024;TCP;8;;
10.193.83.66;10.199.99.134;3024;TCP;32;;
10.193.83.67;10.199.99.132;3016;TCP;1;;
10.193.83.68;10.199.99.132;3016;TCP;1;;
10.193.83.68;10.199.99.136;3016;TCP;11;;
10.193.83.70;10.199.99.132;3016;TCP;19;;
10.193.83.70;10.199.99.136;3016;TCP;4;;
10.193.83.71;10.199.99.132;3016;TCP;8;;
10.193.83.71;10.199.99.134;3024;TCP;1;;
10.193.83.72;10.199.99.134;3024;TCP;12;;
10.193.83.74;10.199.99.132;3016;TCP;2;;
10.193.83.74;10.199.99.136;3016;TCP;26;;
10.193.83.76;10.199.99.136;3016;TCP;2;;
10.193.83.77;10.199.99.136;3016;TCP;4;;
10.193.83.78;10.199.99.134;3024;TCP;4;;
10.193.83.82;10.199.99.134;3024;TCP;2;;
10.193.83.84;10.199.99.136;3016;TCP;4;;
10.193.83.86;10.199.99.134;3024;TCP;6;;
10.193.83.87;10.199.99.134;3024;TCP;3;;
10.193.83.88;10.199.99.134;3024;TCP;2;;
10.193.83.93;10.199.99.134;3024;TCP;8;;
10.193.83.95;10.199.99.134;3024;TCP;4;;
10.193.83.97;10.199.99.134;3024;TCP;8;;
10.198.78.61;10.199.99.132;3016;TCP;2;;
10.198.78.69;10.199.99.134;3024;TCP;2;;
